Cluster,Gene,log2FC,Percentage (%),Adjusted p-value
14,ESRP1,0.67,90,0
14,PLS1,0.67,93.3,0
14,ANG,0.67,81.8,0
14,PLEK2,0.65,80.3,0
14,PYCR1,0.64,87.7,0
14,RNF128,0.63,85.5,0
14,LY6G6D,0.63,31.2,0
14,AP1M2,0.62,84.8,0
14,GJB1,0.62,65.8,0
14,TST,0.61,80.7,0
14,PPP1R14D,0.6,49.1,0
14,MISP,0.6,86.6,0
14,MEST,0.6,78.8,0
14,TSPAN15,0.59,81.8,0
14,MUC1,0.58,55.8,0
14,B3GNT3,0.57,81.4,0
14,ITGB4,0.57,88.8,0
14,MS4A8,0.57,44.2,0
14,TMEM54,0.55,76.2,0
14,ZG16B,0.55,66.5,0
14,CA9,0.54,34.2,0
14,LAMB3,0.54,88.5,0
14,KLK6,0.54,42.4,0
14,IL17RB,0.53,75.1,0
14,HOXA9,0.53,73.2,0
14,SMIM24,0.53,50.6,0
14,DSG2,0.52,95.2,0
14,KCNK1,0.52,65.4,0
14,PRR15,0.52,66.5,0
14,KCTD14,0.52,64.3,0
14,CYP2S1,0.52,77.3,0
14,TM4SF5,0.5,46.8,0
14,GOLT1A,0.5,53.5,0
14,TMEM125,0.49,61.7,0
14,SERINC2,0.49,84.4,0
14,MYO5B,0.49,85.1,0
14,PLCB4,0.48,67.7,0
14,CRB3,0.48,75.5,0
14,CKMT1B,0.47,74,0
14,PPIC,0.46,66.2,0
14,S100A13,0.46,81,0
14,EDN1,0.45,59.5,0
14,DEGS2,0.45,67.7,0
14,CBLC,0.45,69.9,0
14,F2RL1,0.43,77.7,0
14,CFB,0.43,68,0
14,AKR7A3,0.43,75.5,0
14,BMP4,0.43,60.2,0
14,DDAH1,0.42,89.6,0
14,CLDN2,0.42,43.1,0
14,TMC4,0.41,69.5,0
14,LAMC2,0.41,84.8,0
14,C9ORF152,0.41,74.3,0
14,ZDHHC9,0.41,83.6,0
14,CDX2,0.41,56.1,0
14,GNG12,0.39,88.8,0
14,RTKN,0.39,80.7,0
14,HSD11B2,0.39,60.2,0
14,ATP2C2,0.39,63.9,0
14,DHCR24,0.39,78.4,0
14,NECTIN2,0.38,86.2,0
14,METTL7B,0.38,52.8,0
14,GRB7,0.37,67.7,0
14,ABHD17C,0.37,81.4,0
14,CDC42EP1,0.37,77.7,0
14,PKP3,0.37,78.1,0
14,WLS,0.37,66.9,0
14,TMEM265,0.36,66.9,0
14,EPB41L1,0.36,69.9,0
14,DSP,0.36,91.8,0
14,SLC44A3,0.36,53.9,0
14,HOXA10,0.35,71.7,0
14,MEP1A,0.35,50.9,0
14,C19ORF33,0.35,65.4,0
14,TRIM15,0.35,56.5,0
14,MAOA,0.35,56.9,0
14,IRF6,0.35,84.8,0
14,EPHA2,0.35,69.5,0
14,STEAP1,0.35,47.2,0
14,ME1,0.35,67.7,0
14,FAM84A,0.34,72.5,0
14,TCEA3,0.34,67.7,0
14,NPNT,0.34,63.2,0
14,FERMT1,0.34,78.1,0
14,SOX9,0.33,90,0
14,LINC00675,0.33,40.1,0
14,KRT6B,0.32,30.5,0
14,PIWIL1,0.31,54.6,0
14,AP1S1,0.31,78.8,0
14,OVOL1,0.3,52.8,0
14,SH3D19,0.3,75.8,0
14,SH3BGRL2,0.3,82.9,0
14,WFDC2,0.3,28.3,0
14,SH3RF1,0.29,69.5,0
14,ST14,0.29,88.1,0
14,DDC,0.28,45.4,0
14,TSPAN12,0.28,56.5,0
14,CDC42EP4,0.28,71,0
14,GJB3,0.28,45,0
14,PLXNB1,0.27,70.3,0
14,CDX1,0.27,55,0
14,CCL15,0.26,50.6,0
14,TINAG,0.25,34.6,0
14,MAP7,0.25,88.1,0
14,MST1R,0.25,61.7,0
14,FNBP1L,0.25,81.4,0
14,ARL14,0.51,40.9,5.01E-306
14,ETV4,0.43,80.3,9.74E-306
14,TRIM2,0.56,93.3,7.61E-304
14,CD24,2.05,98.5,7.05E-302
14,ERRFI1,0.47,79.6,1.54E-301
14,SLCO1B3,0.43,42.4,1.02E-300
14,VIL1,0.87,78.4,4.10E-299
14,ID1,1.22,88.1,3.42E-293
14,HNF4A,0.48,91.1,3.54E-293
14,SERPINB5,0.79,66.2,1.01E-292
14,TMEM45B,1.3,96.7,6.15E-292
14,HMGCS2,1.26,59.5,5.19E-291
14,ASS1,1.13,74.3,1.05E-290
14,MGST2,0.58,93.3,2.45E-289
14,MET,0.41,85.1,1.84E-288
14,SDCBP2,0.73,64.7,7.25E-288
14,TM4SF4,0.83,31.6,3.27E-286
14,CAPN8,0.76,72.5,2.77E-284
14,KDELR3,0.55,58.7,1.80E-279
14,REG4,3.67,66.9,1.44E-275
14,GDF15,1.21,80.7,1.79E-273
14,C3ORF52,0.31,53.2,8.90E-272
14,KRT18,2.86,100,9.00E-272
14,CKB,2.19,72.1,2.21E-271
14,MPZL2,0.29,69.1,5.84E-270
14,C8ORF4,0.67,53.5,5.24E-269
14,EPB41L5,0.36,72.9,1.61E-268
14,TRIM31,0.99,74,7.85E-268
14,CAPN5,0.51,76.2,3.16E-267
14,FOSL1,0.49,65.1,3.16E-267
14,TMEM97,0.4,78.4,3.14E-266
14,TNFRSF21,0.32,82.5,5.03E-265
14,H1F0,0.35,76.6,3.83E-264
14,SLC5A1,0.4,61.7,7.36E-262
14,CXADR,0.58,89.2,7.27E-260
14,UBD,0.84,45.4,8.45E-260
14,TSPAN6,0.88,91.4,1.70E-259
14,AOC1,0.44,59.1,1.75E-258
14,PRAP1,0.57,63.9,2.02E-258
14,CDCA7,0.45,79.6,5.01E-258
14,PRSS8,1.15,88.5,2.03E-257
14,RNF186,0.38,26.4,1.63E-256
14,SHROOM3,0.82,80.3,4.36E-254
14,MTMR11,0.38,66.2,1.63E-248
14,FUT3,0.43,61,4.90E-248
14,RBP4,0.99,34.9,5.64E-248
14,ADAM9,0.37,85.5,3.17E-247
14,PTPRK,0.67,92.6,1.01E-246
14,SCD,0.37,80.7,4.29E-246
14,POF1B,0.38,85.1,5.57E-246
14,SOD3,0.44,44.2,1.84E-245
14,LAMA3,0.32,62.1,1.65E-244
14,ELF3,1.79,98.9,6.23E-244
14,TRIB3,0.36,68.8,1.11E-243
14,CHMP4C,0.4,82.2,3.08E-243
14,TPM2,0.39,62.1,5.21E-242
14,DPCD,0.3,56.5,7.20E-242
14,PDLIM1,0.71,92.9,1.03E-241
14,FAT1,0.34,88.5,5.76E-241
14,HGD,0.35,30.1,6.56E-241
14,NHSL1,0.27,76.2,4.30E-240
14,SLC40A1,0.89,86.6,2.05E-239
14,SFN,0.29,81.4,1.51E-238
14,CEACAM5,2.12,85.5,1.97E-238
14,CTGF,0.98,68.4,2.03E-237
14,GSTA1,1.42,32.7,8.95E-237
14,BAIAP2L1,0.33,85.9,1.76E-236
14,PERP,1.01,98.1,2.87E-236
14,NET1,0.72,94.1,4.04E-236
14,TMPRSS4,1.04,98.1,4.65E-236
14,NEK3,0.3,66.9,5.07E-236
14,CTTN,0.59,95.2,1.97E-235
14,AKAP1,0.33,84,4.26E-235
14,PTPRR,0.26,31.2,1.30E-234
14,HES1,0.38,74,7.37E-231
14,NT5E,0.58,61.3,2.79E-230
14,RIDA,0.63,71,1.54E-229
14,PROM1,0.28,53.5,1.71E-229
14,DBNDD2,0.89,82.2,4.92E-228
14,WDR34,0.5,70.6,3.22E-227
14,CLDN4,2.8,99.3,7.89E-227
14,PCBD1,0.7,93.7,2.34E-226
14,FXYD3,1.16,97,9.61E-225
14,FKBP9,0.3,81.8,1.87E-224
14,RAMP1,0.43,39,4.35E-224
14,HMGB3,0.25,73.6,1.43E-223
14,GALNT3,0.37,89.6,1.81E-222
14,CNN3,0.54,85.5,2.35E-222
14,WBSCR27,0.27,37.5,3.94E-221
14,PGRMC1,0.84,94.4,5.42E-221
14,LSR,0.58,97.4,7.80E-221
14,TNFRSF11B,0.84,49.4,3.31E-220
14,ENC1,0.33,75.8,8.42E-219
14,FHL2,1,90.7,1.87E-218
14,SELENBP1,0.91,78.4,1.09E-217
14,TCF7L2,0.25,82.9,1.15E-217
14,NQO1,2.47,89.2,3.57E-217
14,GOLM1,0.34,76.6,6.19E-216
14,AK4,0.32,56.1,8.49E-216
14,MPZL1,0.66,89.6,3.71E-215
14,CENPW,0.27,52,8.97E-215
14,PLEKHA6,0.32,71.4,5.30E-213
14,YAE1D1,0.53,64.3,1.35E-211
14,EPS8,0.78,97.4,4.79E-209
14,IGFBP4,0.28,75.1,5.53E-209
14,BACE2,0.4,70.3,1.76E-207
14,CXCL3,1.04,74.3,1.94E-206
14,IGF2BP2,0.35,77,2.89E-206
14,UGT8,0.32,71.4,1.94E-204
14,CD9,1.72,99.6,4.68E-204
14,SMIM22,0.38,87,8.50E-204
14,RNASE1,0.68,55.8,2.06E-203
14,AGPAT2,0.88,92.2,2.13E-203
14,PCK1,0.89,65.1,2.65E-201
14,CDH17,1.13,90,1.14E-196
14,TSC22D1,1.16,96.3,1.19E-196
14,LACTB2,0.51,73.2,2.18E-196
14,HOOK1,0.27,73.6,3.56E-196
14,SORD,0.41,79.9,1.53E-195
14,CMBL,0.57,86.2,5.31E-195
14,CGN,0.3,65.8,2.79E-194
14,CXCL1,1.24,53.2,5.38E-194
14,TMEM9,0.69,85.1,5.06E-193
14,CTSE,0.79,43.9,7.33E-193
14,TMPRSS2,0.37,72.5,1.73E-192
14,NSDHL,0.37,69.9,3.81E-192
14,ITGA6,0.49,95.9,4.48E-192
14,ASPH,0.9,97.4,4.82E-192
14,TMEM141,1.07,95.5,7.43E-192
14,LGALS3BP,1.55,98.5,6.97E-189
14,MYO6,0.46,96.3,1.84E-188
14,SLC39A4,0.89,86.2,8.43E-188
14,MANBAL,0.8,82.5,1.97E-187
14,SERPINH1,0.64,91.1,2.54E-187
14,ADM,0.58,63.6,3.24E-187
14,TMC5,0.49,79.9,6.20E-186
14,GRTP1,0.55,77.7,6.44E-186
14,STAP2,0.6,82.2,2.09E-182
14,GALE,0.81,90,2.84E-182
14,IDH1,1.08,93.3,5.40E-182
14,AHCY,0.57,86.6,3.07E-181
14,CDH1,0.77,96.7,2.44E-180
14,KRT8,2.99,100,2.89E-180
14,EPS8L2,0.27,77,1.36E-179
14,DNTTIP1,0.76,82.2,2.63E-179
14,PRELID2,0.33,69.9,3.14E-179
14,CDCP1,0.35,84.8,1.60E-178
14,F3,0.34,62.5,2.08E-178
14,C1ORF210,0.25,54.6,1.26E-177
14,SNHG11,0.33,61,2.83E-177
14,MRPL15,0.76,87.4,8.75E-177
14,SPINT2,1.75,100,2.00E-176
14,TSPAN3,1.72,99.6,5.31E-176
14,HCCS,0.37,74.7,1.27E-174
14,ANKRD22,0.39,70.3,5.03E-174
14,MRPS18A,1.19,91.1,5.96E-174
14,OCLN,0.54,87.4,6.35E-174
14,MTUS1,0.29,74.3,6.41E-174
14,EXOSC4,0.45,79.9,1.56E-172
14,ABHD11,0.76,92.2,1.74E-172
14,PLPP2,1.39,95.9,1.83E-172
14,GPRC5A,1.33,95.2,5.95E-171
14,C10ORF10,0.59,63.9,4.41E-170
14,TMEM98,0.54,67.3,1.85E-169
14,MGST1,1.69,92.6,7.06E-169
14,DHCR7,0.37,76.6,5.27E-168
14,STARD10,0.86,87.7,1.06E-167
14,PKP2,0.37,87.4,2.25E-167
14,RNF43,0.34,76.6,7.58E-167
14,PLA2G2A,2.03,48.7,6.54E-166
14,MARCKSL1,0.6,95.5,2.79E-165
14,PLBD1,0.57,78.8,3.08E-165
14,CRACR2B,0.29,60.6,3.37E-164
14,CYSTM1,1.06,97,2.93E-163
14,THEM6,0.3,72.9,3.02E-162
14,ERBB3,0.7,96.7,3.72E-162
14,RAB13,0.58,86.2,1.58E-161
14,TRIM16,0.48,81,2.01E-161
14,HBEGF,0.46,79.9,2.21E-161
14,AKR1C3,1.7,57.6,2.52E-161
14,CDK2AP1,0.35,63.6,7.71E-161
14,PON2,0.97,96.3,2.70E-160
14,PLK2,0.46,73.2,6.54E-160
14,GGCT,0.66,84,9.11E-160
14,GPRC5C,0.36,63.9,9.65E-160
14,C1ORF106,0.31,85.5,1.12E-159
14,SCNN1A,0.38,79.2,1.36E-159
14,TJP1,0.69,85.9,1.51E-159
14,LMO7,0.89,93.7,4.78E-159
14,TP53I11,0.26,75.5,6.62E-159
14,TMEM106C,1.11,92.6,3.79E-158
14,F11R,0.65,94.4,5.14E-158
14,TPM1,1.3,99.3,1.51E-157
14,MCU,0.34,82.2,1.16E-156
14,TOMM34,0.62,81.4,3.47E-156
14,TRIM29,0.45,33.1,4.15E-155
14,CXCL2,0.87,80.3,7.98E-155
14,CETN2,0.33,71.7,3.70E-154
14,MUC12,1.08,68.8,1.39E-153
14,IFI27,1.41,83.3,1.44E-153
14,NPDC1,0.36,66.9,1.78E-153
14,TAX1BP3,0.52,87.4,2.04E-151
14,PI3,0.42,27.1,2.80E-151
14,SDC4,1.14,93.3,3.68E-151
14,AMACR,0.3,56.5,3.68E-151
14,ATP1B1,1.05,98.1,5.67E-151
14,HOXB6,0.43,43.9,1.18E-148
14,PPARGC1A,0.27,45,1.04E-146
14,TPPP3,0.33,42,1.47E-146
14,FUCA1,0.38,76.2,2.73E-145
14,TTC39A,0.35,60.6,1.29E-144
14,FLNB,0.32,88.8,1.37E-144
14,DSTN,1.65,100,1.66E-144
14,UGDH,0.43,86.6,1.72E-144
14,MAD2L1BP,0.86,73.6,1.21E-143
14,CKS1B,0.77,81.4,1.90E-143
14,UCK2,0.38,71.4,2.38E-143
14,CREG1,0.38,92.6,4.43E-143
14,ANXA4,1.54,97.4,6.57E-143
14,MRPL45,0.3,66.2,4.17E-142
14,LGALS3,1.78,100,1.01E-141
14,ACTN1,0.4,95.9,1.29E-141
14,RCN1,0.56,94.4,1.54E-141
14,MTX2,0.45,82.9,4.02E-141
14,PRDX4,0.84,97,4.67E-141
14,DCTPP1,0.59,90,4.97E-141
14,TFB2M,0.27,70.3,1.59E-140
14,C10ORF99,0.42,27.9,2.80E-140
14,HDHD3,0.56,77.7,4.42E-140
14,ADAM15,0.31,81.4,1.96E-139
14,GMDS,0.79,94.1,2.16E-139
14,CYB561,0.32,81.4,3.87E-139
14,LIMA1,0.43,92.9,4.99E-139
14,PTS,0.28,80.3,1.04E-138
14,SCCPDH,0.4,72.5,3.23E-138
14,LTBR,0.67,94.1,3.70E-138
14,BAG3,0.6,84.8,7.22E-138
14,SQLE,0.52,77.3,8.27E-138
14,NCKAP1,0.27,85.1,1.07E-137
14,ST6GALNAC1,0.3,41.3,1.53E-137
14,TRIB1,0.32,86.6,1.75E-137
14,ANXA2,1.8,99.6,1.89E-137
14,MRPS35,0.76,95.9,4.37E-137
14,PPARG,0.29,66.5,7.62E-137
14,PSMB5,0.92,94.8,9.59E-137
14,UBE2T,0.5,52,9.85E-137
14,HEBP1,0.29,71,2.56E-136
14,RAB4A,0.39,83.6,3.73E-136
14,HDGF,0.34,88.8,1.41E-135
14,GPR160,0.6,64.3,2.60E-135
14,PAFAH1B3,0.35,77.7,3.56E-135
14,SH3YL1,0.38,86.6,4.08E-135
14,FBP1,0.58,64.7,4.83E-135
14,ETHE1,0.94,90,6.50E-135
14,SSFA2,0.43,92.2,2.16E-134
14,PRMT5,0.38,78.1,3.98E-134
14,ARHGAP12,0.37,81,5.83E-134
14,TRAK1,0.26,78.8,1.08E-133
14,C1GALT1C1,0.53,82.9,2.40E-133
14,HID1,0.26,67.3,4.07E-133
14,TSTA3,1.04,95.5,4.47E-133
14,IER3,0.63,87.7,5.28E-133
14,SLC29A1,0.27,60.2,1.23E-132
14,SLCO4A1,0.4,64.3,1.35E-132
14,DST,0.35,89.6,2.78E-132
14,CYP4F12,0.29,48,7.04E-132
14,SMAGP,0.65,85.9,7.13E-132
14,CD151,0.44,99.3,1.53E-131
14,SPINK4,0.33,23,4.70E-131
14,CEACAM1,0.6,85.1,9.21E-131
14,ACSS2,0.39,81,1.12E-130
14,ACY1,0.7,76.2,1.20E-130
14,BZW2,0.68,94.1,3.18E-130
14,ZDHHC3,0.44,92.2,5.29E-130
14,SLC25A4,0.37,84,9.44E-130
14,MRPS2,0.39,73.2,1.43E-129
14,PTK2,0.54,92.6,7.59E-129
14,FABP1,1.32,42,1.67E-128
14,PDK4,0.44,56.5,9.37E-128
14,SRGN,-3.27,81,1.41E-127
14,ASL,0.59,90.3,2.30E-127
14,KCNN4,0.55,75.5,5.10E-127
14,METTL1,0.26,49.4,2.77E-126
14,AIMP2,0.51,80.7,4.35E-126
14,CYB5A,0.89,95.2,4.71E-126
14,TMEM14A,0.51,82.9,5.41E-126
14,SLC12A2,0.48,95.9,2.29E-125
14,AVPI1,0.4,71.4,3.52E-125
14,MALL,0.74,75.5,1.60E-124
14,TXN,1.09,100,2.44E-124
14,MRPL13,0.86,92.9,8.83E-124
14,CTNND1,0.4,96.7,1.00E-123
14,CCNB2,0.49,41.6,3.84E-123
14,FAM114A1,0.5,78.1,4.63E-123
14,RHOB,0.37,89.6,1.63E-122
14,TIMM13,0.52,92.2,3.34E-122
14,SCARB1,0.26,77,3.41E-122
14,PSAT1,0.42,53.9,5.02E-122
14,C4ORF19,0.29,61.3,6.12E-122
14,MRPL14,0.49,94.8,9.17E-122
14,MLEC,0.53,95.2,9.58E-122
14,CMAS,0.47,82.9,9.96E-122
14,NCOA7,0.93,96.3,2.81E-121
14,CASP6,0.5,80.7,2.93E-121
14,EIF6,1.12,98.5,3.00E-121
14,POLR1C,1.23,86.2,8.69E-121
14,HMGA1,0.61,97.4,2.78E-120
14,ARHGDIB,-2.78,81.8,9.73E-120
14,NDUFA8,0.43,90.7,1.21E-119
14,EMP1,0.25,61.3,3.36E-119
14,SYPL1,0.78,96.3,8.71E-119
14,ZFAND2A,1.03,90,1.04E-118
14,TMEM176A,1.46,68,2.88E-118
14,ANLN,0.34,39.8,4.20E-118
14,LAPTM5,-2.14,62.1,5.22E-118
14,CST3,0.9,99.3,1.34E-117
14,GCSH,0.32,66.2,1.37E-117
14,ECHS1,0.75,96.3,2.62E-117
14,MRPL12,0.49,87.7,3.96E-117
14,ATF3,0.88,92.9,4.55E-117
14,ILVBL,0.31,75.8,4.59E-117
14,PTMS,0.26,72.5,5.81E-117
14,CENPV,0.25,64.3,7.89E-117
14,C8ORF33,0.47,80.3,1.32E-116
14,TWF1,0.4,90.7,1.83E-116
14,TESC,0.86,75.5,2.32E-116
14,FH,0.42,80.3,2.34E-116
14,VSIG2,0.39,29,3.03E-116
14,PTPRC,-2.52,75.1,3.33E-116
14,NME1,0.84,92.6,3.55E-116
14,POLD2,0.56,85.1,7.83E-116
14,TMEM53,0.25,62.1,1.36E-115
14,PPP1R16A,0.37,69.5,1.52E-115
14,POP7,0.33,77.3,2.39E-115
14,CD53,-2.38,58.4,2.39E-115
14,RPF2,0.42,83.6,2.59E-115
14,ZFAND1,0.39,82.9,2.74E-115
14,NEK6,0.25,71.4,2.79E-115
14,HNMT,0.41,78.8,1.06E-114
14,FKBP4,0.37,90.3,3.17E-114
14,HSPB1,1.73,99.6,5.01E-114
14,GPA33,0.29,47.6,7.72E-114
14,ERN2,0.44,71.4,9.46E-114
14,PLOD3,0.6,92.6,1.40E-113
14,MRPL2,0.59,87.4,2.15E-113
14,CYP51A1,0.5,93.7,1.57E-112
14,ALDH2,0.72,97,1.86E-112
14,TOM1L1,0.28,66.5,2.48E-112
14,SLC35A2,0.28,70.6,4.83E-112
14,DERA,0.42,75.8,5.43E-112
14,UCHL3,0.52,87.7,3.12E-111
14,YIPF3,1.19,95.5,4.26E-111
14,PAK1,0.93,82.2,1.04E-110
14,ARHGAP8,0.36,72.9,1.62E-110
14,TSFM,0.32,71.7,4.83E-110
14,DNAJA4,0.42,77.3,6.83E-110
14,MSMO1,0.73,84,7.31E-110
14,PPA1,1.21,100,8.17E-110
14,SLC22A18,0.47,83.6,2.97E-109
14,NOSTRIN,0.35,58,6.96E-109
14,ARPC1A,0.57,92.6,1.09E-108
14,EIF4EBP1,0.45,77,1.11E-108
14,DNPH1,0.76,95.5,2.95E-108
14,PLOD2,0.3,72.5,3.46E-108
14,MYC,0.56,85.9,9.83E-108
14,CDC20,0.36,34.2,3.62E-107
14,MRPL19,0.27,79.6,4.57E-107
14,MT-ND4,1.08,100,7.22E-107
14,IFRD2,0.35,79.9,1.37E-106
14,ALDH1A1,0.68,43.5,1.88E-106
14,C19ORF48,0.54,83.6,1.88E-106
14,SIGMAR1,0.57,94.1,4.35E-106
14,RRBP1,0.61,98.5,6.97E-106
14,GSKIP,0.53,81.8,1.11E-105
14,SERPINA1,2.1,71.7,1.42E-105
14,GSS,0.38,89.2,7.58E-105
14,FBLIM1,0.28,76.6,8.00E-105
14,MALAT1,-1.17,100,1.02E-104
14,MANSC1,0.35,81.8,1.11E-104
14,ICA1,0.64,88.8,1.83E-104
14,LGMN,0.44,89.2,4.42E-104
14,COA3,0.48,89.2,7.66E-104
14,SERPINE2,0.53,71.7,5.76E-103
14,ENTPD6,0.26,81,7.43E-103
14,KDELR2,0.74,98.9,1.05E-102
14,SNHG17,0.58,81.8,1.47E-102
14,GSTP1,0.98,100,2.13E-102
14,GOT1,0.34,75.5,3.23E-102
14,CCNB1,0.46,40.1,8.70E-102
14,TBRG4,0.35,84.8,2.18E-101
14,PDHA1,0.67,92.2,5.63E-101
14,CRYZ,0.41,71.7,5.75E-101
14,LCP1,-1.62,65.8,9.64E-101
14,DPP4,0.37,73.2,1.02E-100
14,NAPRT,0.3,87,1.04E-100
14,COQ9,0.26,73.2,1.45E-100
14,MSN,-1.02,59.1,1.72E-100
14,NAA20,0.74,94.8,1.95E-100
14,PARD6B,0.29,86.6,2.38E-100
14,ACSL3,0.42,89.2,2.51E-100
14,TMEM14C,0.54,95.9,3.12E-100
14,NOB1,0.26,76.6,4.18E-100
14,SHMT2,0.54,85.9,7.34E-100
14,HCLS1,-1.66,41.3,7.55E-100
14,A1CF,0.26,53.9,8.58E-100
14,PYGB,0.38,82.2,9.05E-100
14,COA6,0.27,84.8,9.48E-100
14,MYO1E,0.41,78.1,9.72E-100
14,TDGF1,0.28,45,1.55E-99
14,IFITM3,0.64,96.3,1.84E-99
14,RAC2,-2.03,59.9,5.46E-99
14,EMP2,0.53,94.8,5.75E-99
14,FAM135A,0.29,69.1,1.45E-98
14,ALG3,0.53,84,2.18E-98
14,KRT20,1.49,34.6,2.93E-98
14,CRYL1,0.37,72.9,3.02E-98
14,MUC5B,0.36,44.6,3.67E-98
14,MRPL37,0.53,87.7,3.82E-98
14,INPP1,0.32,67.7,4.34E-98
14,CXCL16,0.38,81.8,6.94E-98
14,LAPTM4B,0.44,67.3,1.07E-97
14,TINAGL1,0.27,82.2,1.27E-97
14,MT-ND2,0.83,100,1.81E-97
14,VIM,-2.05,70.6,1.97E-97
14,EBPL,0.32,78.8,2.52E-97
14,CYC1,0.93,95.9,4.96E-97
14,CCL20,1.34,64.3,5.15E-97
14,TMEM208,0.56,92.6,7.58E-97
14,TMEM176B,1.32,66.9,8.72E-97
14,AIG1,0.59,79.2,8.73E-97
14,FUCA2,0.46,91.8,1.10E-96
14,SPTBN1,0.32,98.5,1.17E-96
14,MT-ND4L,0.89,100,1.43E-96
14,PRDX1,1,100,1.73E-96
14,HTATIP2,0.43,93.7,4.18E-96
14,CD52,-2.38,14.5,5.65E-96
14,ATG101,0.32,83.6,6.27E-96
14,UACA,0.27,77,6.82E-96
14,KDELR1,0.59,94.8,1.87E-95
14,STOML2,0.66,94.1,3.66E-95
14,DKC1,0.35,86.6,4.58E-95
14,CORO1A,-2.1,60.6,5.79E-95
14,CHMP2B,0.48,97.4,5.97E-95
14,ALG5,0.61,92.6,6.16E-95
14,SUCLA2,0.27,76.6,1.87E-94
14,MAPK13,0.34,88.1,1.89E-94
14,TUBA1C,0.98,98.5,2.00E-94
14,NME2,0.9,99.3,2.51E-94
14,WIPF1,-1.18,34.6,3.18E-94
14,SAMD12,0.49,68.4,4.25E-94
14,NDUFC2-KCTD14,0.78,74.3,4.98E-94
14,MT-ATP6,0.84,100,8.57E-94
14,CBR1,0.31,81.4,1.36E-93
14,PPFIBP1,0.32,82.9,2.05E-93
14,S100A6,1,100,2.30E-93
14,DHRS3,0.69,83.6,2.59E-93
14,PDLIM5,0.58,96.3,2.92E-93
14,IFT172,0.32,72.1,5.00E-93
14,GMFG,-1.26,19.3,7.26E-93
14,MTX1,0.31,71,7.35E-93
14,HSD17B12,0.44,93.3,9.68E-93
14,SPINK1,0.59,46.1,1.74E-92
14,LLGL2,0.3,82.5,1.82E-92
14,ITGB2,-1.41,38.7,2.01E-92
14,MGLL,0.61,71.7,2.21E-92
14,TATDN1,0.43,84.4,2.34E-92
14,MLPH,0.56,78.4,3.28E-92
14,TXNDC17,0.45,94.4,3.95E-92
14,MRPL24,0.31,72.1,7.92E-92
14,MPST,0.73,95.5,9.22E-92
14,SLC25A5,1.05,98.9,1.71E-91
14,MRPS26,0.33,83.6,1.96E-91
14,ZWINT,0.37,46.1,4.18E-91
14,C1ORF21,0.57,69.9,4.64E-91
14,NDUFC2,0.88,96.3,5.32E-91
14,CCNB1IP1,0.34,76.6,6.24E-91
14,S100A10,1.12,100,7.04E-91
14,LSP1,-1.61,51.7,8.34E-91
14,IMPDH2,0.37,89.6,2.19E-90
14,SMIM20,0.29,70.6,2.40E-90
14,PDIA4,0.6,98.9,2.81E-90
14,ARL1,0.4,89.6,2.84E-90
14,GFPT1,0.27,92.9,1.36E-89
14,TFG,0.55,97.4,1.48E-89
14,TMSB4X,-1.16,100,1.86E-89
14,TK1,0.38,46.1,2.00E-89
14,PRELID3B,0.56,96.7,2.17E-89
14,NIFK,0.29,89.6,3.04E-89
