Cluster,Gene,log2FC,Percentage (%),Adjusted p-value
6,HSPE1,0.98,89.6,0
6,CD9,0.97,91.3,0
6,COX6A1,0.97,95,0
6,KLK1,0.97,66.3,0
6,TMSB10,0.94,100,0
6,EIF5A,0.94,86.2,0
6,BACE2,0.92,72.1,0
6,DSG2,0.92,69.3,0
6,COX7A2,0.92,96,0
6,CHCHD10,0.92,86,0
6,SDCBP2,0.91,64.6,0
6,NTHL1,0.91,61.2,0
6,SERINC2,0.9,68,0
6,MUC5B,0.9,60.7,0
6,TUBB4B,0.9,78.1,0
6,COX5B,0.89,96.2,0
6,ABHD11,0.89,70.6,0
6,KLK10,0.89,48.3,0
6,ANXA4,0.89,83.3,0
6,MGST2,0.88,78.7,0
6,DPP4,0.88,64.8,0
6,SPINT1,0.88,69.7,0
6,HN1,0.88,80.4,0
6,CAPN1,0.88,75.8,0
6,MYL12B,0.87,95.3,0
6,SLC22A18,0.87,68.8,0
6,SLIRP,0.87,87.8,0
6,ALDOA,0.86,96.8,0
6,PLPP2,0.86,68.7,0
6,HSPD1,0.86,83.1,0
6,COX7B,0.86,92.7,0
6,TUBA1C,0.85,75.3,0
6,POMP,0.85,92.2,0
6,DNAJC15,0.85,81.2,0
6,PKM,0.85,92.9,0
6,TPI1,0.84,94.6,0
6,MISP,0.84,68.7,0
6,GAPDH,0.84,99.4,0
6,RAB25,0.83,70,0
6,COX8A,0.83,94.4,0
6,C12orf75,0.83,79.6,0
6,SDR16C5,0.83,58.9,0
6,COX5A,0.82,89.2,0
6,CLRN3,0.82,61.2,0
6,UQCRQ,0.82,94.1,0
6,ATP5B,0.82,88.7,0
6,NAPRT,0.82,73.3,0
6,FDFT1,0.81,69.7,0
6,AK1,0.81,71.5,0
6,AKR1C3,0.8,67,0
6,PDZK1IP1,0.8,61.4,0
6,LSR,0.8,70.3,0
6,C4orf48,0.79,85.9,0
6,ENO1,0.79,91,0
6,BIK,0.79,63.5,0
6,PPIA,0.79,97,0
6,MRPL57,0.78,82.7,0
6,OCIAD2,0.77,81,0
6,EZR,0.77,79.1,0
6,TSTA3,0.77,73.9,0
6,ANG,0.77,60.2,0
6,MGST3,0.77,86.7,0
6,LDHA,0.76,90.2,0
6,PKP3,0.76,67.9,0
6,CSTB,0.75,93.6,0
6,CDH1,0.75,67.4,0
6,TMEM54,0.75,72.8,0
6,TM4SF1,0.75,73.8,0
6,BSG,0.75,85.9,0
6,SCD,0.75,57.1,0
6,KLF5,0.74,66.2,0
6,MIF,0.74,89.5,0
6,ATP5G3,0.74,88.8,0
6,CDKN2A,0.74,63.8,0
6,GDF15,0.73,51,0
6,CYCS,0.73,87.8,0
6,NME1,0.73,69.9,0
6,CD55,0.73,71.7,0
6,FHL2,0.73,65.3,0
6,PLS1,0.73,64.5,0
6,INSIG1,0.72,56.6,0
6,SLC25A5,0.72,87.8,0
6,KDELR2,0.71,83.5,0
6,CDX1,0.71,62.4,0
6,PCBD1,0.71,74.3,0
6,USMG5,0.71,93,0
6,USH1C,0.71,63,0
6,IFT172,0.7,64.9,0
6,SUGT1,0.7,70.2,0
6,ATP1B1,0.7,68.7,0
6,AP1S1,0.7,69.5,0
6,QSOX1,0.69,72.2,0
6,PRDX1,0.69,92.3,0
6,TMBIM1,0.69,67.5,0
6,SNRPG,0.69,84.4,0
6,ANXA13,0.69,53.4,0
6,UQCRH,0.68,92.1,0
6,MARCKSL1,0.68,79.4,0
6,ASPH,0.68,72.3,0
6,TCEB2,0.68,94.7,0
6,LLGL2,0.68,64.9,0
6,MBOAT7,0.68,65.5,0
6,COX6C,0.68,94.3,0
6,ATP5J2,0.68,90.1,0
6,TMBIM6,0.68,89,0
6,TXNDC17,0.67,76.8,0
6,MDH2,0.67,79.7,0
6,RHOD,0.67,48.4,0
6,TPT1,0.67,99.8,0
6,TMEM141,0.67,76.4,0
6,TSPO,0.67,90.5,0
6,P4HB,0.67,85.3,0
6,MLEC,0.67,72.6,0
6,PHB,0.67,78.7,0
6,ST14,0.67,64.2,0
6,CLDN18,0.66,32.7,0
6,COX7C,0.66,97.2,0
6,VIL1,0.66,63.2,0
6,MFI2,0.66,56.3,0
6,FDPS,0.66,72,0
6,PRSS8,0.65,61,0
6,UQCR11,0.65,93.4,0
6,ANXA11,0.65,79.7,0
6,PPDPF,0.65,94.2,0
6,LAD1,0.65,60.7,0
6,ETFB,0.65,79.1,0
6,CEACAM6,0.65,67.7,0
6,LGALS3BP,0.64,80.1,0
6,UFM1,0.64,74.7,0
6,ATP5D,0.64,90.6,0
6,LSM4,0.64,77.6,0
6,MALL,0.64,59.9,0
6,DDT,0.64,81.8,0
6,RPS27L,0.64,91.8,0
6,TM9SF2,0.64,72.8,0
6,TPD52,0.63,71.1,0
6,STARD10,0.63,66.9,0
6,SERPINB1,0.63,74.5,0
6,OCLN,0.63,52.9,0
6,EPS8L3,0.63,58.7,0
6,NDFIP2,0.63,68,0
6,TMPRSS4,0.63,61.8,0
6,ADIRF,0.63,83,0
6,HSBP1,0.62,83.8,0
6,CXCL16,0.62,61.6,0
6,NDUFB4,0.62,86,0
6,CYB5B,0.62,73.6,0
6,ABCC3,0.62,63.8,0
6,LACTB2,0.62,60.9,0
6,PPP1R1B,0.62,57.5,0
6,VDAC1,0.62,81,0
6,POLR1D,0.62,77.7,0
6,LAMB3,0.61,56.2,0
6,UCHL3,0.61,63.6,0
6,CD24,0.61,77.7,0
6,TMEM92,0.61,51.4,0
6,BCL2L15,0.61,57,0
6,ECHS1,0.61,76,0
6,CHCHD2,0.61,93.8,0
6,TMC5,0.61,58.6,0
6,SYNGR2,0.61,74.2,0
6,H2AFY,0.61,81.7,0
6,PTTG1IP,0.61,73.4,0
6,ACTN4,0.61,78.4,0
6,MPC2,0.6,74.7,0
6,CAPN2,0.6,73.5,0
6,MVP,0.6,75,0
6,ATP1A1,0.59,77.5,0
6,ADAP1,0.59,58.4,0
6,TMEM106C,0.59,65.1,0
6,SLCO4A1-AS1,0.59,44.3,0
6,CYP3A5,0.59,58.7,0
6,ITGB4,0.59,62.7,0
6,COX6B1,0.58,94.2,0
6,TINAGL1,0.58,65.6,0
6,TM9SF3,0.58,70.5,0
6,EPSTI1,0.58,65.7,0
6,GUK1,0.58,91.4,0
6,TST,0.58,59.9,0
6,SEC61G,0.58,93,0
6,AKR7A3,0.58,54,0
6,RAMP1,0.58,58.1,0
6,MSMO1,0.57,51.2,0
6,MYH14,0.57,57.9,0
6,TM4SF20,0.57,35.6,0
6,DHCR24,0.57,52.7,0
6,CXADR,0.57,54.3,0
6,TRIM29,0.57,45.6,0
6,RAB11A,0.56,76.8,0
6,CD46,0.56,70.1,0
6,DDAH1,0.56,58.6,0
6,SLC1A5,0.56,61.4,0
6,CDA,0.56,58.5,0
6,STAP2,0.55,57.5,0
6,GALE,0.55,60,0
6,PPP2R1A,0.55,73.5,0
6,CCL15,0.55,54.1,0
6,NUTF2,0.55,70.3,0
6,XRCC4,0.55,46,0
6,TJP2,0.55,56.2,0
6,CES2,0.55,58.1,0
6,ELF3,0.54,71.1,0
6,JUP,0.54,62.5,0
6,CISD3,0.54,70.2,0
6,SPATS2L,0.54,68.3,0
6,GOLM1,0.54,58.8,0
6,KRTCAP3,0.53,57.4,0
6,FIBCD1,0.53,49.6,0
6,ALG5,0.53,66.5,0
6,NDUFS4,0.53,70.6,0
6,VILL,0.53,52.5,0
6,GTF3C6,0.53,70.2,0
6,HSD17B12,0.53,67.7,0
6,WDR72,0.53,50.7,0
6,GSKIP,0.52,55.9,0
6,SLC39A4,0.52,60.1,0
6,ERO1A,0.52,58.9,0
6,MRPS36,0.52,70,0
6,TNFRSF12A,0.52,52,0
6,ERBB3,0.52,59.6,0
6,ETHE1,0.52,69.4,0
6,PRR15L,0.52,52.7,0
6,TESC,0.52,48.4,0
6,GMDS,0.52,56.7,0
6,GLRX3,0.52,63.9,0
6,SLC12A2,0.52,54.7,0
6,RP11-350J20.12,0.51,44.7,0
6,CTTN,0.51,66.1,0
6,TJP3,0.51,52.3,0
6,PGRMC1,0.51,70.1,0
6,IGFBP2,0.51,50.9,0
6,FAM195A,0.51,60,0
6,PYGB,0.51,55.8,0
6,CYP2S1,0.51,49.8,0
6,MRPL23,0.51,70.6,0
6,LINC01207,0.51,51,0
6,SH3YL1,0.51,62.6,0
6,RP11-532F12.5,0.5,55.7,0
6,SLC2A1,0.5,56.3,0
6,HMGA1,0.5,67.7,0
6,MGAT4B,0.5,54.2,0
6,EFHD2,0.5,65.6,0
6,TSPAN15,0.5,57.1,0
6,HOXB6,0.5,50.2,0
6,NT5C,0.5,67.8,0
6,DSC2,0.5,54.4,0
6,LEMD1,0.49,50.3,0
6,AP1M2,0.49,54.7,0
6,EFNA1,0.49,51.2,0
6,GALNT5,0.49,46.1,0
6,FUT3,0.49,51.6,0
6,GRTP1,0.49,49.3,0
6,AK2,0.49,64.8,0
6,ACOT7,0.49,54.6,0
6,B3GNT3,0.49,50.7,0
6,ZNF593,0.49,60.5,0
6,CDHR5,0.49,47.2,0
6,DSP,0.48,56.3,0
6,PFKP,0.48,57.7,0
6,SLC44A4,0.48,55.2,0
6,MS4A8,0.48,41.3,0
6,RBM47,0.48,58.5,0
6,PLGRKT,0.47,62.2,0
6,EPS8L1,0.47,48,0
6,TUBB2A,0.47,45.7,0
6,SLC6A8,0.47,42.4,0
6,MUC3A,0.47,45.3,0
6,THOP1,0.47,50.9,0
6,ACSL5,0.47,59.7,0
6,SDHB,0.47,66.4,0
6,IL32,0.47,92.9,0
6,FKBP4,0.47,57,0
6,STK24,0.47,60.9,0
6,OAS1,0.47,51,0
6,PPP1R16A,0.47,51.9,0
6,PLEKHJ1,0.47,66.1,0
6,TSPAN13,0.46,59.4,0
6,CISD1,0.46,64.6,0
6,MACC1,0.46,46.8,0
6,CDC42EP1,0.46,57.8,0
6,GDA,0.46,45.7,0
6,LINC00467,0.45,51.1,0
6,CRB3,0.45,51.8,0
6,ITGA6,0.45,60.2,0
6,ADAM9,0.45,58.6,0
6,CTNNA1,0.45,68.1,0
6,MYO6,0.45,57.4,0
6,MIB2,0.45,53,0
6,EBP,0.44,58.6,0
6,LAMC2,0.44,43.6,0
6,PLSCR1,0.44,65.2,0
6,CAPN8,0.44,46.3,0
6,SDC1,0.44,58.6,0
6,TFRC,0.44,56.3,0
6,MUC17,0.44,38.3,0
6,C9orf152,0.44,46.1,0
6,HSBP1L1,0.44,51.8,0
6,HIGD1A,0.44,64.1,0
6,CRYL1,0.43,52.3,0
6,SULT2B1,0.43,42.5,0
6,ZNF511,0.43,58.5,0
6,SLCO4A1,0.43,46.3,0
6,TUBA4A,0.43,64.9,0
6,BID,0.43,58.7,0
6,CCL20,0.43,34.9,0
6,GJB2,0.43,47.8,0
6,GCNT3,0.43,45.8,0
6,PAICS,0.42,49.7,0
6,GALNT3,0.42,48.9,0
6,SQLE,0.42,46.3,0
6,MTMR11,0.42,46.9,0
6,EXOSC8,0.42,54.2,0
6,HMGCS1,0.41,48.1,0
6,RNF126,0.41,56.8,0
6,COMTD1,0.41,56.8,0
6,POF1B,0.41,47.1,0
6,TMPRSS2,0.41,49.9,0
6,F12,0.41,46.3,0
6,AC004556.1,0.41,49,0
6,GFPT1,0.41,57.4,0
6,BAIAP2L2,0.41,46.3,0
6,F11R,0.41,51.8,0
6,NDUFA7,0.41,59.3,0
6,NT5C3A,0.41,59.7,0
6,HSD17B2,0.4,41.3,0
6,MRPS35,0.4,57.5,0
6,RBBP8NL,0.4,41.8,0
6,C1orf106,0.4,47.5,0
6,TSEN34,0.4,58.8,0
6,CCND1,0.4,59.5,0
6,TOMM5,0.4,53.2,0
6,AMN,0.4,45.3,0
6,NUDT14,0.4,60.4,0
6,PLXNB2,0.4,55.9,0
6,CGN,0.4,43.3,0
6,COG3,0.4,47.3,0
6,PLOD3,0.4,55.7,0
6,ZDHHC3,0.4,55.9,0
6,PVRL2,0.4,58.1,0
6,SDC4,0.39,52.6,0
6,INPP1,0.39,49.9,0
6,CREB3L1,0.39,48.8,0
6,TOM1L1,0.39,45.6,0
6,RASEF,0.39,41.5,0
6,GJB1,0.39,41.9,0
6,HSPBP1,0.39,51.7,0
6,CUL4A,0.39,54.8,0
6,PARP4,0.39,51.9,0
6,ETV4,0.38,41.6,0
6,KCNQ1,0.38,43.5,0
6,TRAF4,0.38,49.3,0
6,NDUFV3,0.38,61.2,0
6,CDC25B,0.38,47.9,0
6,CAMK2N1,0.38,55.4,0
6,TRIM16,0.38,45.7,0
6,TMEM125,0.38,44.5,0
6,PTPRH,0.38,38.7,0
6,WDR24,0.38,40.2,0
6,TMCO3,0.38,50.3,0
6,ZNF90,0.37,57.7,0
6,ABHD2,0.37,56.9,0
6,SPNS2,0.37,39.9,0
6,CMBL,0.37,46.7,0
6,DAP,0.37,59.1,0
6,EPS8L2,0.37,52.2,0
6,GSDMB,0.37,43.5,0
6,CANT1,0.37,51,0
6,SERPINB5,0.37,39.6,0
6,LAMA3,0.37,39.6,0
6,SPINK1,0.36,48.1,0
6,TFDP1,0.36,47.8,0
6,AZGP1,0.36,41.6,0
6,HDHD3,0.36,48.9,0
6,DDR1,0.36,48.2,0
6,FABP2,0.36,26,0
6,TMX2,0.36,56.3,0
6,ICA1,0.36,53.6,0
6,PLCD3,0.36,42.7,0
6,EPS8,0.36,56.1,0
6,HOXB7,0.36,47.5,0
6,NOXO1,0.36,35.5,0
6,NCLN,0.35,48,0
6,PDXDC1,0.35,57,0
6,SHROOM3,0.35,41.9,0
6,TNNT1,0.35,37.2,0
6,KLK6,0.35,35,0
6,ARSD,0.35,46.7,0
6,FUOM,0.35,53.1,0
6,SFTA2,0.35,36.4,0
6,KCNE3,0.35,42,0
6,ERN2,0.35,42.7,0
6,HID1,0.35,40.9,0
6,LINC01133,0.35,38.6,0
6,FAM129B,0.35,48.3,0
6,PKIB,0.35,36.3,0
6,FASN,0.34,40,0
6,SLC37A1,0.34,44.1,0
6,UBR4,0.34,52.2,0
6,UGT8,0.34,42,0
6,KIAA1522,0.34,45,0
6,CBLC,0.34,42.7,0
6,SOX9,0.34,47.9,0
6,HKDC1,0.34,38.7,0
6,PON2,0.34,55.8,0
6,RETSAT,0.34,43.2,0
6,TRIB3,0.34,35.6,0
6,CLDN12,0.34,42.8,0
6,PLEK2,0.34,42.5,0
6,INF2,0.34,52,0
6,CDHR2,0.34,35.5,0
6,RAB20,0.34,45.9,0
6,GJB3,0.34,36.8,0
6,MYO5B,0.34,41.7,0
6,TPM1,0.34,84.8,0
6,F2RL1,0.33,38.9,0
6,DHCR7,0.33,39.4,0
6,CDC42EP5,0.33,37.4,0
6,MPDU1,0.33,50.7,0
6,KLK11,0.33,31.3,0
6,CLDN1,0.33,40.4,0
6,MLLT4,0.33,48,0
6,ITGA3,0.33,46.5,0
6,SHMT2,0.33,51.4,0
6,ATP8B1,0.33,49.5,0
6,KCNK1,0.33,41,0
6,PCYT2,0.33,44.3,0
6,FERMT1,0.32,47.1,0
6,DESI1,0.32,48.6,0
6,TWF1,0.32,51.6,0
6,IL18,0.32,48.7,0
6,ASL,0.32,51.4,0
6,BAIAP2L1,0.32,41.2,0
6,OAS3,0.32,38.9,0
6,SH2D3A,0.32,43.5,0
6,SLC7A1,0.32,43.2,0
6,INO80C,0.32,47.3,0
6,ACAT2,0.32,40.4,0
6,ME1,0.32,37.8,0
6,ZFAND2A,0.32,45.7,0
6,CTNNBIP1,0.32,44.8,0
6,HEPH,0.31,40.6,0
6,CEBPG,0.31,49.4,0
6,PTPRN2,0.31,45.3,0
6,DPEP1,0.31,30.9,0
6,CTBP2,0.31,52.6,0
6,SLC5A1,0.31,36.4,0
6,TRAP1,0.31,45.4,0
6,RASSF7,0.31,50.4,0
6,THAP4,0.31,44,0
6,ATP11A,0.31,43.9,0
6,CDCP1,0.31,43,0
6,ELOVL1,0.31,52.2,0
6,ETNK1,0.31,53.2,0
6,CKMT1A,0.31,38.4,0
6,ATIC,0.31,48.7,0
6,FAM83H,0.31,39.8,0
6,ITGA2,0.3,42.5,0
6,DEGS2,0.3,40.4,0
6,SCNN1A,0.3,39.9,0
6,ACSS2,0.3,40.6,0
6,FOXA3,0.3,38.5,0
6,GFER,0.3,49.9,0
6,IGF2BP2,0.3,43.3,0
6,PYCR1,0.3,42.3,0
6,HGD,0.3,32.1,0
6,RAB40B,0.3,40.7,0
6,TMEM30B,0.3,41.2,0
6,GBP3,0.3,47.6,0
6,TMEM97,0.3,34.6,0
6,SSFA2,0.3,51,0
6,CERS6,0.3,45.2,0
6,REEP6,0.3,37.3,0
6,DNASE1,0.3,36.6,0
6,ABHD17C,0.3,41.2,0
6,MAOA,0.3,40.9,0
6,ACBD5,0.3,45.2,0
6,SPINK4,0.3,31.4,0
6,CCDC58,0.3,44.7,0
6,SIGMAR1,0.29,42.4,0
6,MET,0.29,38.8,0
6,ABHD11-AS1,0.29,32.3,0
6,RP1-122P22.4,0.29,30.4,0
6,LAIR2,0.29,32.7,0
6,CEACAM5,0.29,54.5,0
6,SH3BGRL2,0.29,39.8,0
6,PCSK9,0.29,31.5,0
6,PLLP,0.29,38.4,0
6,TMC4,0.29,39.2,0
6,CENPV,0.29,38.5,0
6,FUT2,0.29,38.9,0
6,ATP2C2,0.29,38,0
6,MYO15B,0.29,35.5,0
6,FAM213B,0.29,39.1,0
6,EFNB1,0.29,44.1,0
6,IFI27L1,0.29,41.4,0
6,FARSB,0.29,42.3,0
6,DHFR,0.28,33,0
6,GDPD3,0.28,35,0
6,TTLL12,0.28,40.5,0
6,SLC6A20,0.28,33,0
6,PTPRF,0.28,46.6,0
6,CKMT1B,0.28,38.9,0
6,LPCAT4,0.28,49.5,0
6,NEBL,0.28,36.5,0
6,CARKD,0.28,40,0
6,FGFR4,0.28,34.7,0
6,DGAT1,0.28,41.4,0
6,DLG3,0.28,37.9,0
6,GPA33,0.28,41.4,0
6,SMPDL3A,0.28,38.9,0
6,SUCLA2,0.28,46.9,0
6,RASSF6,0.28,37.4,0
6,FGFBP1,0.28,25.1,0
6,LRP5,0.27,37.2,0
6,SPPL2B,0.27,42.7,0
6,NEK3,0.27,39.5,0
6,XPNPEP1,0.27,44.8,0
6,CYP4F12,0.27,34.1,0
6,RNF128,0.27,38.4,0
6,GUCD1,0.27,42.7,0
6,GPRC5C,0.27,42.6,0
6,EIF5AL1,0.27,38.2,0
6,AKAP1,0.27,46.6,0
6,TRIM2,0.27,45.9,0
6,MEST,0.27,38.2,0
6,ARSE,0.27,34.8,0
6,NSMF,0.27,33.9,0
6,DUS1L,0.27,39.5,0
6,ENTPD8,0.27,24,0
6,HOXA9,0.27,36.6,0
6,TP53,0.26,44.3,0
6,NT5E,0.26,43,0
6,SLC35A3,0.26,48.4,0
6,LIPH,0.26,38.3,0
6,ALDH3A2,0.26,43.5,0
6,TMEM171,0.26,32.8,0
6,RSPH1,0.26,31,0
6,CCDC64B,0.26,36.2,0
6,FAAH,0.26,34.1,0
6,NUDT15,0.26,38.2,0
6,MBOAT2,0.26,40,0
6,ZNF83,0.26,41.7,0
6,TPPP3,0.26,59.5,0
6,MMAB,0.26,45.7,0
6,PRSS22,0.26,28,0
6,SLC12A7,0.26,37.7,0
6,BAIAP2,0.26,42.2,0
6,MIR194-2HG,0.26,30,0
6,LDLR,0.26,43.1,0
6,CDC16,0.26,44,0
6,PP7080,0.25,37.8,0
6,ALG1L,0.25,31.5,0
6,MYO1A,0.25,33.6,0
6,CYP4F3,0.25,31.4,0
6,IMPA2,0.25,37.1,0
6,RAET1L,0.25,17,0
6,SLC39A14,0.25,40.9,0
6,MAP7,0.25,39,0
6,TMEM150B,0.25,29.3,0
6,SPR,0.25,40.6,0
6,TOX3,0.25,34.4,0
6,FCGBP,-0.27,36,0
6,LYZ,-0.38,73.1,0
6,RPL10,-0.6,99.4,0
6,RPS18,-0.69,98.3,0
6,MALAT1,-0.72,93.1,0
6,RPL15,-0.73,95.2,0
6,JUN,-1.54,53,0
6,DUSP1,-1.57,33.4,0
6,TSC22D3,-1.88,21.6,0
6,VIM,-2.5,30.9,0
6,IGHA1,-4.83,19.1,0
6,IGKC,-4.93,63.6,0
6,CNDP2,0.36,59.6,2.03E-306
6,HDGF,0.37,58,1.03E-305
6,ATP6V0B,0.61,81.5,1.24E-304
6,JUNB,-1.41,57,2.52E-304
6,FAM162A,0.52,72.2,1.04E-303
6,NHSL2,0.27,45.9,1.52E-303
6,HSPA9,0.45,67.7,8.03E-303
6,MSRB2,0.37,61.1,1.45E-302
6,FOS,-1.46,59.3,1.45E-301
6,AURKAIP1,0.59,81.4,9.85E-301
6,EPN1,0.34,59.1,1.02E-299
6,HTATIP2,0.35,58.4,1.23E-299
6,NDUFB3,0.6,79.2,2.46E-299
6,VDAC2,0.62,80,7.01E-299
6,NDUFC1,0.57,80.4,1.74E-298
6,HEBP2,0.42,63.4,3.43E-298
6,SLC9A3R1,0.31,51.9,1.83E-297
6,ANKRD10,0.42,59.9,2.96E-297
6,COX4I1,0.52,95.5,4.23E-296
6,GRPEL1,0.25,47.5,5.60E-295
6,EBNA1BP2,0.39,54.1,1.71E-294
6,TMEM208,0.47,69.6,3.13E-294
6,RHOC,0.66,84.1,1.05E-293
6,PFDN5,-0.68,83.9,1.86E-293
6,CYB5A,0.49,68.9,8.49E-292
6,YWHAE,0.6,84.2,1.11E-291
6,TK1,0.3,29.2,3.61E-291
6,LRRC59,0.42,59.9,5.96E-291
6,ACADVL,0.57,75.6,5.64E-289
6,BZW2,0.3,50.7,8.98E-289
6,NDUFB9,0.61,82.7,2.56E-288
6,NET1,0.28,52,4.58E-288
6,NDUFA6,0.56,78.3,9.46E-288
6,WASL,0.25,47.2,1.25E-287
6,DYNLT1,0.59,79,4.82E-287
6,PLP2,0.64,78.2,7.30E-286
6,MRPL52,0.56,79.5,9.60E-286
6,ETFA,0.44,67.6,3.16E-285
6,HDAC1,0.39,64.9,9.72E-285
6,RAB11FIP1,0.32,55.6,1.19E-284
6,GCHFR,0.25,51.3,6.82E-284
6,GTF2F2,0.31,54,7.38E-284
6,SEC13,0.36,59.3,1.00E-283
6,CKS2,0.47,56.6,2.05E-283
6,FAM96B,0.61,80.6,8.49E-283
6,RAN,0.72,87.7,1.45E-282
6,CFDP1,0.49,70.5,2.36E-281
6,LMNA,0.55,84.5,1.36E-280
6,POLD2,0.32,52.3,2.40E-279
6,GPI,0.35,59.5,6.11E-278
6,SRGN,-1.92,17.3,4.77E-277
6,PPA1,0.58,81,4.90E-277
6,C1QBP,0.65,72,5.45E-277
6,COA6,0.27,51.5,7.94E-277
6,SLC16A3,0.32,58.5,2.46E-276
6,CKS1B,0.43,57.1,3.25E-276
6,NDUFAB1,0.56,75.4,2.54E-274
6,AQP3,0.31,35.8,3.12E-274
6,ORMDL2,0.4,62.4,3.82E-274
6,TAX1BP3,0.46,64.9,5.34E-274
6,NDUFA1,0.56,89.3,2.79E-273
6,PRR13,0.55,82.3,3.52E-273
6,EMP2,0.36,59.8,4.97E-273
6,PTS,0.29,51.7,1.22E-272
6,SHFM1,0.56,86.8,2.67E-272
6,IFI16,-0.97,3.3,3.17E-272
6,UQCR10,0.57,87,3.88E-272
6,CCT5,0.5,66.3,4.66E-271
6,RBCK1,0.48,67.1,7.76E-271
6,CMPK1,0.49,73.1,1.07E-270
6,PLA2G16,0.38,60.3,4.65E-270
6,SURF4,0.4,66.1,1.01E-269
6,TBCA,0.56,86.9,9.06E-269
6,OLA1,0.38,60.7,3.42E-268
6,C14orf1,0.3,52.2,5.87E-268
6,HOOK2,0.26,45.7,7.32E-268
6,MAPK3,0.3,53.7,1.53E-267
6,S100A4,-2.07,50,3.37E-267
6,WDR45B,0.28,54.6,4.02E-267
6,MPST,0.45,65.1,4.42E-267
6,ATP5I,0.57,92.7,1.41E-266
6,SNRPD1,0.61,76.7,1.55E-266
6,PDHA1,0.27,52.5,4.77E-266
6,HSPA1A,-1.45,7.7,6.37E-265
6,DDRGK1,0.37,62.1,1.32E-264
6,CLTB,0.52,73.4,5.74E-263
6,ACO2,0.3,54.4,7.90E-263
6,MYDGF,0.57,78.6,3.75E-261
6,HINT1,0.53,94,3.26E-260
6,RNPEP,0.28,51.1,2.52E-258
6,GLRX,0.52,67.1,4.24E-258
6,CHMP2B,0.42,61.2,6.11E-258
6,MYL12A,0.59,94,6.47E-258
6,COX17,0.54,83.9,2.40E-257
6,UBA1,0.34,56.8,2.76E-257
6,NFKBIA,-1.26,40.3,4.55E-257
6,PGK1,0.6,84.5,7.26E-257
6,GNB2,0.46,73.7,1.45E-256
6,ECM1,0.32,49.6,5.32E-256
6,PPIC,0.32,66.1,1.62E-255
6,EIF4E2,0.39,62.2,9.03E-255
6,CFL1,0.5,97.2,1.00E-254
6,CYC1,0.5,74.6,1.31E-254
6,ITPA,0.31,55.9,1.37E-254
6,SNRPF,0.62,81.2,8.08E-254
6,IFITM3,0.54,95.3,1.22E-253
6,SYAP1,0.36,65.4,5.93E-253
6,MRPL12,0.46,63.2,2.11E-252
6,CNN2,0.33,62.3,2.78E-252
6,SEC61A1,0.37,60.1,5.40E-252
6,CHCHD5,0.36,62.5,5.86E-251
6,BLVRB,0.39,72.2,1.63E-250
6,GTF3A,0.56,76.4,6.72E-250
6,GLOD4,0.27,54.7,8.08E-250
6,JCHAIN,-4.44,4.7,1.38E-249
6,EIF6,0.48,71.2,1.47E-249
6,COPZ1,0.47,70.2,2.24E-249
