Cluster,Gene,log2FC,Percentage (%),Adjusted p-value
11,RPL12,0.62,99.5,0
11,VNN1,0.62,16.8,0
11,HSPD1,0.61,90,0
11,IGFBP2,0.61,58.7,0
11,CLDN4,0.61,96.7,0
11,NDFIP2,0.61,72.4,0
11,ZNF703,0.61,66.8,0
11,APP,0.61,85.7,0
11,TMEM123,0.61,84.2,0
11,HDGF,0.6,79.7,0
11,HSD17B12,0.6,69,0
11,PRDX1,0.6,90.7,0
11,IRF2BP2,0.6,85.3,0
11,MUC13,0.6,87.4,0
11,TSC22D1,0.6,83,0
11,F11R,0.59,66.1,0
11,UCHL3,0.59,61.5,0
11,FDFT1,0.59,65.2,0
11,PTMS,0.59,71.2,0
11,RPL8,0.59,99.6,0
11,SQSTM1,0.59,91.2,0
11,CDH1,0.58,80.6,0
11,CDH17,0.58,83.9,0
11,ANKRD10,0.58,65.3,0
11,CTSE,0.58,26.5,0
11,EPHA2,0.57,48.5,0
11,KRT19,0.57,97.4,0
11,ACTN1,0.57,72.7,0
11,TMPRSS4,0.57,76.1,0
11,OCIAD2,0.57,79.1,0
11,PROX1,0.57,41,0
11,AGR2,0.57,86.5,0
11,SERPINA1,0.57,50.6,0
11,KRT8,0.56,99,0
11,SAA1,0.56,13.1,0
11,COL17A1,0.56,45.8,0
11,CLIC1,0.56,93.3,0
11,BCL2L1,0.56,59.3,0
11,YAP1,0.56,58.3,0
11,FAT1,0.56,72.8,0
11,CCT3,0.56,78,0
11,SET,0.55,87.1,0
11,BCAP31,0.55,82.5,0
11,FDPS,0.55,68.2,0
11,RPN2,0.55,77.9,0
11,ROCK2,0.54,80.1,0
11,ETS2,0.54,78.4,0
11,ADGRG1,0.54,59,0
11,BAIAP2L1,0.54,67,0
11,CYB5B,0.54,64.7,0
11,SLC40A1,0.53,57.1,0
11,KIF5B,0.53,88,0
11,TMC5,0.53,68.5,0
11,PPP1R14B,0.53,69.6,0
11,PFDN2,0.53,74,0
11,MSMO1,0.53,47.3,0
11,KCNK1,0.53,51.7,0
11,BMP4,0.53,35.8,0
11,HMGCS1,0.53,53,0
11,AHCY,0.52,60,0
11,AZGP1,0.51,45.8,0
11,CCT6A,0.51,77.5,0
11,KRAS,0.51,70.9,0
11,FIBCD1,0.51,23.5,0
11,F3,0.51,29.6,0
11,ADAM9,0.51,56.1,0
11,NEBL,0.51,51,0
11,OLA1,0.51,66.7,0
11,TMSB10,0.5,99.9,0
11,EDN1,0.5,32,0
11,NFE2L3,0.5,53.4,0
11,TM9SF2,0.5,76.5,0
11,NECTIN4,0.5,31.3,0
11,CCDC6,0.49,58.6,0
11,HDAC2,0.49,65.5,0
11,PRELID3B,0.49,67.4,0
11,MARCKSL1,0.49,87.5,0
11,MDH2,0.49,77.4,0
11,CERS6,0.49,62.8,0
11,ECM1,0.49,29.2,0
11,LAPTM4B,0.49,49.1,0
11,BHLHE40,0.49,55,0
11,NPTX2,0.49,23.2,0
11,MSI2,0.49,68.5,0
11,SULF2,0.48,54.1,0
11,ATP9A,0.48,52.4,0
11,KRTCAP3,0.48,56.5,0
11,PITX1,0.48,47.8,0
11,SINHCAF,0.48,65.6,0
11,IGF2BP2,0.48,61,0
11,KCNN4,0.48,49.8,0
11,EIF3H,0.48,84.1,0
11,VDAC2,0.47,77,0
11,TSPAN6,0.47,54,0
11,TIMP1,0.47,83.9,0
11,SFN,0.47,77.7,0
11,RCN1,0.47,43.7,0
11,TRAP1,0.47,58.3,0
11,VIL1,0.47,69.8,0
11,NCKAP1,0.47,66.9,0
11,CCT5,0.47,73,0
11,TMEM106B,0.47,58.8,0
11,ZDHHC9,0.47,51.3,0
11,CPNE1,0.47,66.6,0
11,SSB,0.46,73.6,0
11,PYGB,0.46,63.1,0
11,MLEC,0.46,75.2,0
11,DNTTIP1,0.46,51.4,0
11,H2AFY,0.46,84.1,0
11,AGRN,0.46,44.2,0
11,CTNNA1,0.46,80.6,0
11,MRPS35,0.46,64.9,0
11,AFDN,0.46,78,0
11,TMEM45B,0.46,64.3,0
11,PLEC,0.46,71.4,0
11,ADD3,0.46,75.8,0
11,HOXA9,0.46,40,0
11,CDX2,0.46,64.5,0
11,LYPLA1,0.46,67,0
11,C6orf132,0.46,45.7,0
11,DCBLD2,0.46,27.6,0
11,PGRMC1,0.45,70.8,0
11,AHNAK2,0.45,25.6,0
11,ATP11A,0.45,48.8,0
11,LPGAT1,0.45,58.6,0
11,RSL1D1,0.45,71.8,0
11,STAU1,0.45,72.7,0
11,H1F0,0.45,63.1,0
11,CLDN1,0.45,37.3,0
11,DEK,0.45,88,0
11,ASPH,0.45,57.6,0
11,PSMB7,0.45,76.5,0
11,CITED4,0.45,36.8,0
11,LRPPRC,0.45,67.1,0
11,EPPK1,0.44,52,0
11,SYPL1,0.44,69.9,0
11,EHF,0.44,64.4,0
11,IRS2,0.44,64.4,0
11,IMPDH2,0.44,61,0
11,CCT4,0.44,72.7,0
11,EBPL,0.44,55.4,0
11,LSR,0.44,78.5,0
11,PKP3,0.43,74.5,0
11,ACSL3,0.43,62.3,0
11,EMP1,0.43,46.5,0
11,CAPG,0.43,67,0
11,ACP1,0.43,71,0
11,YBX3,0.43,82.7,0
11,MDK,0.43,64,0
11,CUL4A,0.43,56.9,0
11,ABHD11,0.43,62,0
11,ACSL5,0.43,64.9,0
11,C4BPB,0.43,21.5,0
11,RAB10,0.43,77.5,0
11,PLA2G16,0.43,41.5,0
11,SNRPE,0.43,67.3,0
11,NHP2,0.42,68.3,0
11,HACD3,0.42,54.8,0
11,SMS,0.42,64.9,0
11,FASN,0.42,46,0
11,PRPF40A,0.42,83.8,0
11,TBX3,0.42,38.5,0
11,GALNT3,0.42,65,0
11,CTBP2,0.42,67.3,0
11,ACTN4,0.42,86.9,0
11,ICA1,0.42,60.3,0
11,PTPRF,0.42,78.7,0
11,FAM83H,0.42,50,0
11,SLC7A1,0.42,50.4,0
11,ZMYM2,0.42,61.2,0
11,NKD1,0.42,23.4,0
11,NIFK,0.42,61.6,0
11,POF1B,0.41,67.6,0
11,MBNL2,0.41,62,0
11,CAMK2N1,0.41,90.1,0
11,GRINA,0.41,61.7,0
11,RAMP1,0.41,21.2,0
11,EPB41L2,0.41,49.8,0
11,RNF114,0.41,62.1,0
11,CXCL16,0.41,46.1,0
11,EIF3B,0.41,68.3,0
11,CCT2,0.41,69.2,0
11,CXXC5,0.41,54.7,0
11,CHMP4C,0.41,51,0
11,CCT7,0.41,69.9,0
11,SQLE,0.41,35.1,0
11,DKC1,0.4,53.9,0
11,PLOD3,0.4,55.2,0
11,CDKN2A,0.4,23.7,0
11,QSOX1,0.4,58,0
11,GTF2F2,0.4,58.8,0
11,C1QBP,0.4,65.8,0
11,EPS8,0.4,71.1,0
11,EPRS,0.4,70.8,0
11,EI24,0.4,63.3,0
11,TRIP6,0.4,42.4,0
11,TMBIM1,0.4,64.2,0
11,FGFBP1,0.4,21.2,0
11,GALNT6,0.4,46.2,0
11,GGCT,0.4,54.6,0
11,KRT6B,0.4,13.3,0
11,EPB41L1,0.4,44.5,0
11,VPS35,0.4,70.8,0
11,PTTG1IP,0.4,78,0
11,PLEKHA4,0.4,31.2,0
11,PKP2,0.39,59.8,0
11,RAB22A,0.39,60,0
11,RND3,0.39,63.2,0
11,PHLDA1,0.39,51.3,0
11,KLK6,0.39,21.5,0
11,HEPH,0.39,56.4,0
11,PPP1R1B,0.39,59.8,0
11,KRT80,0.39,25.2,0
11,DST,0.39,75,0
11,YWHAG,0.39,66.8,0
11,NFAT5,0.39,61.3,0
11,SRPK1,0.39,66,0
11,LAMA5,0.39,30.8,0
11,BAZ2B,0.39,66.3,0
11,DLGAP4,0.39,55,0
11,MTIF3,0.39,68,0
11,ETV4,0.39,34.5,0
11,CTTN,0.38,67.7,0
11,IPO7,0.38,64,0
11,DARS,0.38,63.6,0
11,TOX3,0.38,51,0
11,TSTA3,0.38,64.8,0
11,TARS,0.38,56.3,0
11,ONECUT3,0.38,17.1,0
11,PLEKHA1,0.38,57,0
11,NOXO1,0.38,45.6,0
11,EIF2S3,0.38,61.5,0
11,IPO5,0.38,55.6,0
11,CDC42BPB,0.38,55.6,0
11,FNBP1L,0.38,58.1,0
11,ARFGEF3,0.38,51.2,0
11,MGST2,0.38,61.9,0
11,LRRC8A,0.38,45.1,0
11,PTGES2,0.38,61.7,0
11,EPHB3,0.38,33,0
11,ARHGAP32,0.38,58.9,0
11,SESTD1,0.38,42,0
11,SND1,0.38,63.5,0
11,MYH14,0.38,78.1,0
11,SLCO4A1-AS1,0.38,23.5,0
11,SLC6A8,0.38,50.5,0
11,BZW2,0.38,55.4,0
11,CDK6,0.38,60,0
11,PDZD8,0.38,62.2,0
11,TRIB3,0.37,27.8,0
11,SLC5A1,0.37,40.8,0
11,UBE2H,0.37,69.3,0
11,VSNL1,0.37,31.5,0
11,PTPN12,0.37,59.8,0
11,DHCR24,0.37,45,0
11,MYOF,0.37,47.9,0
11,RAB11A,0.37,73.5,0
11,ENAH,0.37,46,0
11,ATIC,0.37,52,0
11,C1orf43,0.37,67,0
11,TEAD1,0.37,44.2,0
11,SEMA3C,0.37,45.2,0
11,SPINT1,0.37,80.7,0
11,EIF4EBP1,0.37,51.1,0
11,MORF4L2,0.37,72.3,0
11,FAM210B,0.37,44.7,0
11,WDR72,0.37,30.3,0
11,EMP2,0.36,65.1,0
11,KDM5B,0.36,58.3,0
11,CLDN3,0.36,93.8,0
11,KARS,0.36,60.3,0
11,SYNCRIP,0.36,67.2,0
11,COPA,0.36,70.8,0
11,CAPN1,0.36,67.5,0
11,CLDN2,0.36,18.4,0
11,ITGB8,0.36,33,0
11,PFDN4,0.36,48,0
11,USH1C,0.36,67.8,0
11,TAF1D,0.36,71.9,0
11,PLEK2,0.36,40.6,0
11,ERGIC3,0.36,64.3,0
11,LINC02086,0.36,37.4,0
11,CHMP2B,0.36,67.5,0
11,CBX3,0.36,75.5,0
11,TM7SF3,0.36,42.6,0
11,FKBP9,0.36,47.3,0
11,TNFRSF11B,0.35,18.4,0
11,PARP4,0.35,61.1,0
11,EFNA3,0.35,30.9,0
11,PSMD1,0.35,63.6,0
11,TNFRSF10B,0.35,45.2,0
11,IGF1R,0.35,42.2,0
11,GARS,0.35,53.2,0
11,KLK11,0.35,20.7,0
11,SUGT1,0.35,69.2,0
11,ABHD17C,0.35,61.4,0
11,HSBP1,0.35,59.7,0
11,PODXL,0.35,30.2,0
11,ITGB4,0.35,39,0
11,MPZL1,0.34,55.2,0
11,RNF128,0.34,40,0
11,TMEM181,0.34,59.7,0
11,MLF2,0.34,71.3,0
11,TMC7,0.34,31.8,0
11,NET1,0.34,71.8,0
11,VGLL4,0.34,57.1,0
11,DIS3,0.34,56.1,0
11,MGAT4B,0.34,76.9,0
11,METTL5,0.34,56.5,0
11,MECOM,0.34,51,0
11,ITPR3,0.34,56,0
11,TNRC18,0.34,52.9,0
11,NDUFA8,0.34,57.7,0
11,LARP1,0.34,71.1,0
11,GMDS,0.34,66,0
11,RHBDF1,0.34,38,0
11,TTYH3,0.34,39.9,0
11,B4GALT5,0.34,52.9,0
11,EPHB2,0.34,41.5,0
11,ITGB6,0.34,34.7,0
11,RBM26,0.34,59.7,0
11,STK24,0.34,72,0
11,NONO,0.33,65.4,0
11,TRIM31,0.33,50.3,0
11,EFNB1,0.33,53,0
11,MRPL15,0.33,50.1,0
11,GID8,0.33,55.4,0
11,MYO10,0.33,58.7,0
11,PUM1,0.33,71.5,0
11,WDR43,0.33,57.8,0
11,RAB13,0.33,58.6,0
11,NTMT1,0.33,55,0
11,SOWAHC,0.33,47.5,0
11,PAICS,0.33,50.2,0
11,SMARCC1,0.33,67.2,0
11,DPYSL2,0.33,35.8,0
11,MIB2,0.33,46.9,0
11,S100A2,0.33,19.4,0
11,SDR16C5,0.33,24.5,0
11,CEACAM5,0.33,46.8,0
11,LINC02253,0.33,20.8,0
11,SLC25A36,0.33,67.8,0
11,PDLIM7,0.33,27.7,0
11,PPP2R1A,0.33,72.2,0
11,MUC3A,0.33,53.1,0
11,EPB41L4A-AS1,0.33,49.8,0
11,C6orf222,0.33,30.5,0
11,NOB1,0.33,48.4,0
11,MBOAT2,0.32,43.5,0
11,DMKN,0.32,28.4,0
11,HKDC1,0.32,35.2,0
11,PHB,0.32,59.3,0
11,NTHL1,0.32,49.5,0
11,ZDHHC20,0.32,56,0
11,BMP7,0.32,24.5,0
11,TPD52L2,0.32,48.9,0
11,SPNS2,0.32,23.1,0
11,PTPRK,0.32,51.2,0
11,SH3YL1,0.32,47.8,0
11,MRPL3,0.32,58,0
11,EIF6,0.32,50.8,0
11,RDH10,0.32,43.4,0
11,CHRM3,0.32,30.7,0
11,FAM84B,0.32,38,0
11,NPEPPS,0.32,63,0
11,AAMP,0.32,60.7,0
11,DDAH1,0.32,51.2,0
11,SLC52A2,0.32,58.9,0
11,HNF4A,0.32,63.8,0
11,FSTL3,0.32,20,0
11,MAP7,0.32,63.5,0
11,SLC25A29,0.32,29,0
11,DDX27,0.32,66.2,0
11,ATP10B,0.31,49.4,0
11,VCL,0.31,52.5,0
11,TMEM9,0.31,43.9,0
11,TNFSF15,0.31,25.7,0
11,RHPN2,0.31,45,0
11,TES,0.31,66.1,0
11,SDHC,0.31,58.6,0
11,SEMA4B,0.31,38.1,0
11,SULT2B1,0.31,28.5,0
11,GJB1,0.31,40.2,0
11,RBCK1,0.31,47.6,0
11,BIK,0.31,39.3,0
11,ZYX,0.31,50.4,0
11,AK3,0.31,64.6,0
11,LIF,0.31,22.5,0
11,PKP4,0.31,42.1,0
11,PSMD4,0.31,65.8,0
11,CAPRIN2,0.31,25,0
11,MCFD2,0.31,53.4,0
11,COMT,0.31,60.9,0
11,PLXNB2,0.31,62.5,0
11,MFSD10,0.31,56.3,0
11,INPP1,0.31,40.4,0
11,CYP2S1,0.31,36.1,0
11,IFT172,0.31,46.3,0
11,MGAT5,0.31,48.1,0
11,TSN,0.3,48.6,0
11,CLCN3,0.3,60.7,0
11,CTNND1,0.3,78.2,0
11,DDX1,0.3,53.6,0
11,PRPF6,0.3,65.1,0
11,ANKRD22,0.3,32.1,0
11,GLO1,0.3,58.5,0
11,ST14,0.3,85,0
11,TBRG4,0.3,49.3,0
11,TFG,0.3,65.4,0
11,MAP4K3,0.3,37.8,0
11,PTK7,0.3,26.9,0
11,SLC22A3,0.3,26.2,0
11,HEXB,0.3,49.9,0
11,PLXNB1,0.3,41.5,0
11,TMEM87B,0.3,56.2,0
11,PRRC2B,0.3,63,0
11,CCNB1IP1,0.3,46.2,0
11,FOXC1,0.3,23.4,0
11,RPF2,0.3,44.8,0
11,KIF3B,0.3,55.3,0
11,CARS2,0.3,50.8,0
11,LDLR,0.3,40.5,0
11,PODXL2,0.3,32.8,0
11,TJP1,0.3,52.5,0
11,RARS,0.3,50,0
11,PNKD,0.3,41.6,0
11,ADIPOR1,0.3,50,0
11,TUFT1,0.3,37.3,0
11,IARS2,0.3,59.6,0
11,MLXIPL,0.3,28.6,0
11,SHMT2,0.3,44.8,0
11,CDCA7,0.29,32,0
11,DNAJC2,0.29,53.7,0
11,GJB3,0.29,27.9,0
11,SOD3,0.29,35.7,0
11,ZNF593,0.29,57.8,0
11,ARHGAP5,0.29,48.4,0
11,PM20D2,0.29,39.2,0
11,FUCA2,0.29,54.8,0
11,CAPRIN1,0.29,60.8,0
11,FAM136A,0.29,60,0
11,DNM1L,0.29,49.4,0
11,RRAS,0.29,54.2,0
11,RTKN,0.29,35.8,0
11,CYP4F3,0.29,24.7,0
11,CHPF,0.29,41.2,0
11,GAS6-AS1,0.29,22.6,0
11,TM9SF4,0.29,45,0
11,COL16A1,0.29,22.5,0
11,ACE2,0.29,20.6,0
11,RALA,0.29,59.3,0
11,TXNRD1,0.29,49.3,0
11,CDCP1,0.29,47.4,0
11,PDP1,0.29,35.8,0
11,HUWE1,0.29,62.8,0
11,EIF1AX,0.29,68.5,0
11,RNPS1,0.29,64.2,0
11,SEMA5A,0.29,33.6,0
11,KCNE3,0.29,36.9,0
11,PCSK9,0.29,23,0
11,TRIP10,0.29,37.5,0
11,KNOP1,0.29,58.9,0
11,PGM2L1,0.29,35.6,0
11,KCNQ1,0.29,39.1,0
11,EPS8L1,0.28,32.1,0
11,OSBPL2,0.28,46.6,0
11,MARVELD2,0.28,37.8,0
11,PTK6,0.28,52.8,0
11,NFIA,0.28,47.1,0
11,BROX,0.28,54.4,0
11,MPLKIP,0.28,59.2,0
11,LIPG,0.28,26.9,0
11,GPR35,0.28,51.4,0
11,LRCH1,0.28,31.6,0
11,NPAS2,0.28,30.8,0
11,NFIB,0.28,51.5,0
11,SURF6,0.28,50.7,0
11,FSCN1,0.28,28.9,0
11,SLC12A7,0.28,47.2,0
11,ADAP1,0.28,54.6,0
11,PTK2,0.28,47.8,0
11,CDC42EP1,0.28,37.8,0
11,TOR4A,0.28,39.3,0
11,ME1,0.28,29,0
11,PTCD3,0.28,59.2,0
11,PAM,0.28,34.7,0
11,MYO1B,0.28,45.4,0
11,MANSC1,0.28,35.6,0
11,PRR15L,0.28,54.1,0
11,IBTK,0.28,50.4,0
11,XPO1,0.28,60.1,0
11,MRPS10,0.28,50.4,0
11,ARHGAP12,0.28,49,0
11,CNN3,0.28,41.9,0
11,CHMP3,0.28,61.4,0
11,FGFR4,0.28,35,0
11,PCYOX1,0.28,46.1,0
11,TPD52L1,0.28,32.4,0
11,PPFIBP1,0.28,40.8,0
11,CAPN8,0.28,24.1,0
11,LTBR,0.28,54.5,0
11,LRP5,0.28,46.1,0
11,ASAP2,0.28,48.9,0
11,MSRB2,0.28,56.9,0
11,KDM1A,0.28,46.7,0
11,NAA20,0.27,53.6,0
11,DAAM1,0.27,52.6,0
11,TPMT,0.27,54.5,0
11,ITGB5,0.27,38.4,0
11,REXO2,0.27,54,0
11,TWF1,0.27,48.3,0
11,SEZ6L2,0.27,31.1,0
11,BRIX1,0.27,47.8,0
11,ZFR,0.27,61.5,0
11,NDUFS1,0.27,66,0
11,FUT3,0.27,54.7,0
11,PSMD14,0.27,57,0
11,ALS2CL,0.27,27.7,0
11,ARRDC1,0.27,53.6,0
11,ZFHX3,0.27,48.2,0
11,NUTF2,0.27,51.2,0
11,CRB3,0.27,35.3,0
11,MRPL36,0.27,48.9,0
11,GOT2,0.27,46.7,0
11,ANO9,0.27,52,0
11,MRPS18B,0.27,53.7,0
11,PPIC,0.27,51.8,0
11,MCCC2,0.27,45.4,0
11,ZMIZ2,0.27,45.1,0
11,LEMD1,0.27,20.8,0
11,TATDN1,0.27,50.5,0
11,CLIC3,0.27,23.6,0
11,RABGAP1,0.27,44.5,0
11,TNS4,0.27,18.7,0
11,ESRP1,0.27,59.4,0
11,GNG12,0.27,61.8,0
11,AIMP1,0.27,64.3,0
11,POLD2,0.27,45.5,0
11,DPM1,0.27,50.4,0
11,ITPA,0.27,56.4,0
11,MRPS23,0.27,44.8,0
11,FGFRL1,0.27,28.2,0
11,SH3BP4,0.27,32.1,0
11,PPP1R16A,0.27,56.4,0
11,EBNA1BP2,0.27,51.3,0
11,AC021218.1,0.26,27.1,0
11,DBN1,0.26,25.2,0
11,IRF6,0.26,45,0
11,UTP14A,0.26,37.5,0
11,C1orf116,0.26,30,0
11,LGR5,0.26,18.2,0
11,CRIM1,0.26,54,0
11,KHDC4,0.26,39.5,0
11,PAFAH1B3,0.26,43.3,0
11,DACH1,0.26,25.8,0
11,EPS8L3,0.26,66.3,0
11,MRPL13,0.26,49.7,0
11,MAPK13,0.26,56.8,0
11,CHD7,0.26,54.7,0
11,ACTL6A,0.26,44.3,0
11,AL117382.1,0.26,25.8,0
11,RPL7L1,0.26,47.5,0
11,WDR24,0.26,29,0
11,PXN,0.26,47.5,0
11,MRPS2,0.26,42.8,0
11,CSE1L,0.26,40.7,0
11,CETN2,0.26,42.6,0
11,FAM3B,0.26,26.4,0
11,GTF2H5,0.26,59.2,0
11,YIPF6,0.26,50.9,0
11,SEPT10,0.26,41,0
11,DCTPP1,0.26,55.7,0
11,CDK4,0.26,43.7,0
11,GTPBP4,0.26,51.1,0
11,GDE1,0.25,56.2,0
11,PSMG3,0.25,50,0
11,DAG1,0.25,41.7,0
11,PLS3,0.25,31.5,0
11,CRLS1,0.25,46.2,0
11,RCC2,0.25,51.2,0
11,SCCPDH,0.25,41.4,0
11,TOR1AIP2,0.25,45,0
11,IDH1,0.25,49.2,0
11,TRAF5,0.25,48.8,0
11,BOD1,0.25,43.5,0
11,LLGL2,0.25,72.8,0
11,ADIPOR2,0.25,49.9,0
11,ADAM15,0.25,50.8,0
11,MEST,0.25,34.6,0
11,ENGASE,0.25,42.2,0
11,TNFRSF21,0.25,36,0
11,IARS,0.25,44.9,0
11,TFF3,-0.36,83.5,0
11,VIM,-2.29,12.7,0
11,SRGN,-2.41,12.4,0
11,UBE2I,0.33,70.7,9.22E-307
11,SPTAN1,0.3,69.3,2.63E-305
11,PLCB4,0.38,42.1,7.02E-305
11,TMEM87A,0.28,68.6,7.80E-305
11,TPM4,0.47,86,8.75E-305
11,HMGCR,0.26,46,1.69E-304
11,USP7,0.26,65.9,1.71E-304
11,SPINK1,0.51,55.7,4.48E-304
11,SNRPC,0.28,61.9,9.35E-304
11,PLSCR1,0.25,60.4,9.72E-303
11,CYB5A,0.3,66,1.82E-302
11,MRPL14,0.32,69.6,2.43E-302
11,LGALS3BP,0.37,86.6,2.64E-302
11,CMAS,0.26,57.6,1.04E-301
11,COX20,0.26,65.3,1.27E-301
11,EMC10,0.28,70,1.42E-300
11,DYNC1LI2,0.32,70.8,2.64E-300
11,NT5C3A,0.26,61.8,2.66E-299
11,CARHSP1,0.26,58.5,6.38E-298
11,APEX1,0.29,57.4,4.58E-297
11,DMAC1,0.32,54.7,7.63E-297
11,SLK,0.37,69.9,4.59E-296
11,REG4,1.05,28,4.62E-296
11,COMMD6,0.58,86.6,1.45E-295
11,UHMK1,0.25,61.5,1.89E-294
11,PLP2,0.36,71.4,6.84E-293
11,OLFM4,1.28,31.2,3.24E-291
11,ESD,0.32,59.2,3.31E-291
11,SSFA2,0.25,66.5,4.56E-290
11,SNX9,0.26,57.4,6.04E-290
11,CCT8,0.29,61.2,1.89E-289
11,CPNE3,0.27,60.5,3.00E-289
11,STOML2,0.32,65.5,4.37E-289
11,C9orf16,0.49,83,2.82E-288
11,MRPL57,0.41,78.5,7.39E-288
11,PSMD7,0.32,64.4,1.51E-287
11,PGGHG,0.31,31.2,1.87E-287
11,SEM1,0.45,80.9,9.59E-287
11,UBA1,0.26,62,9.92E-287
11,TOMM20,0.45,83.3,1.37E-286
11,COPZ1,0.3,64.7,1.38E-286
11,TM9SF3,0.41,85.6,5.26E-285
11,RHEB,0.26,57.9,3.12E-284
11,TGM2,0.32,18.6,2.07E-283
11,METTL26,0.29,69.3,3.03E-283
11,DUSP6,0.31,49.2,4.29E-283
11,SRD5A3,0.28,28.4,1.28E-282
11,HTATIP2,0.27,53.4,5.92E-282
11,MRPS33,0.3,58.5,1.09E-281
11,EIF4G1,0.29,71.7,2.83E-281
11,CD164,0.43,81.5,8.15E-281
11,ELOB,0.45,94.8,5.20E-280
11,SRP9,0.34,75.3,5.27E-280
11,EIF3E,0.58,83.8,1.08E-279
11,GTF3A,0.37,70.8,1.83E-279
11,RPS24,0.62,98.9,2.97E-279
